conc,emb1,emb2,emb3
0.0625,-0.3098695491558943,-0.33376233475736894,-0.2772040179458361
0.125,-0.32132783074772486,-0.2856923803662545,0.062458533722347775
0.1875,-0.3232880305055529,0.2593802069353135,0.14061704549434226
0.25,-0.3333715873234397,-0.04438801179725338,0.3649792098674759
0.3125,-0.33133329760777974,0.09871755736410733,0.3600384189237213
0.375,-0.2927123325899571,0.511117965582871,-0.28388026843836756
0.4375,-0.3302468446699912,-0.1436967751406914,0.1611012008876652
0.5,-0.29912914396457746,-0.35731245777877235,-0.6319347493727457
0.5625,-0.32926111434932714,-0.17128741512891968,0.23494161942157388
0.625,-0.2875085275783109,0.537668220403678,-0.2748918479011111
